107.6,21,20,6.186,3.618
107.6,21,25,6.138,3.594
107.6,21,30,6.698,3.882
107.6,21,35,8.498,4.887
107.6,21,40,8.01,4.556
107.6,21,50,6.925,4.207
107.6,21,60,7.668,4.372
107.6,21,70,7.338,4.198
107.8,21,0,6.594,3.879
107.8,21,2.5,6.091,3.592
107.8,21,5,5.586,3.302
107.8,21,7.5,5.335,3.172
107.8,21,10,5.085,3.043
107.8,21,15,6.1,3.576
107.8,21,20,6.185,3.617
107.8,21,25,6.131,3.59
107.8,21,30,6.69,3.879
107.8,21,35,8.498,4.895
107.8,21,40,8.015,4.559
107.8,21,50,6.902,4.2
107.8,21,60,7.666,4.371
107.8,21,70,7.336,4.197
108,21,0,6.606,3.886
108,21,2.5,6.09,3.591
108,21,5,5.575,3.296
108,21,7.5,5.323,3.165
108,21,10,5.079,3.04
108,21,15,6.103,3.577
108,21,20,6.184,3.616
108,21,25,6.129,3.589
108,21,30,6.698,3.883
108,21,35,8.497,4.898
108,21,40,8.015,4.56
108,21,50,6.88,4.194
108,21,60,7.662,4.369
108,21,70,7.334,4.196
97,21.2,0,4.585,2.703
97,21.2,2.5,4.834,2.85
97,21.2,5,5.416,3.196
97,21.2,7.5,5.849,3.442
97,21.2,10,6.154,3.601
97,21.2,15,6.044,3.545
97,21.2,20,6.345,3.702
97,21.2,25,5.977,3.512
97,21.2,30,6.316,3.686
97,21.2,35,7.909,4.51
97,21.2,40,8.315,4.727
97,21.2,50,8.478,4.88
97,21.2,60,8.372,4.75
97,21.2,70,7.936,4.51
97.2,21.2,0,4.582,2.702
97.2,21.2,2.5,4.9,2.889
97.2,21.2,5,5.477,3.232
97.2,21.2,7.5,5.877,3.456
97.2,21.2,10,6.177,3.614
97.2,21.2,15,6.029,3.537
97.2,21.2,20,6.36,3.711
97.2,21.2,25,5.952,3.499
97.2,21.2,30,6.357,3.708
97.2,21.2,35,7.992,4.553
97.2,21.2,40,8.302,4.721
97.2,21.2,50,8.482,4.884
97.2,21.2,60,8.354,4.741
97.2,21.2,70,7.916,4.501
97.4,21.2,0,4.616,2.723
97.4,21.2,2.5,4.816,2.84
97.4,21.2,5,5.386,3.179
97.4,21.2,7.5,5.827,3.43
97.4,21.2,10,6.123,3.585
97.4,21.2,15,6.053,3.549
97.4,21.2,20,6.314,3.686
97.4,21.2,25,6.006,3.526
97.4,21.2,30,6.316,3.685
97.4,21.2,35,7.831,4.469
97.4,21.2,40,8.294,4.715
97.4,21.2,50,8.472,4.876
97.4,21.2,60,8.346,4.74
97.4,21.2,70,7.925,4.506
97.6,21.2,0,4.624,2.727
97.6,21.2,2.5,4.854,2.862
97.6,21.2,5,5.417,3.197
97.6,21.2,7.5,5.838,3.437
97.6,21.2,10,6.128,3.589
97.6,21.2,15,6.045,3.545
97.6,21.2,20,6.314,3.686
97.6,21.2,25,5.998,3.522
97.6,21.2,30,6.341,3.699
97.6,21.2,35,7.863,4.486
97.6,21.2,40,8.281,4.708
97.6,21.2,50,8.473,4.877
97.6,21.2,60,8.328,4.731
97.6,21.2,70,7.909,4.497
97.8,21.2,0,4.631,2.731
97.8,21.2,2.5,4.908,2.895
97.8,21.2,5,5.462,3.224
